Product Category,Product Name,REGION,Sales Amount,Quantity,Order Date,Customer ID,Customer Age,Customer Gender,Sales,Discount,Profit
Electronics,Smartphone,AMERICAS,500,1,2024-01-10,C001,25,Male,500,0.19,405.0
Apparel,T-Shirt,EUROPE,20,2,2024-01-11,C002,30,Female,20,0.23,15.4
Electronics,Laptop,ASIA,800,1,2024-01-12,C003,22,Female,800,0.2,640.0
Home Appliances,Microwave Oven,EUROPE,150,1,2024-01-13,C004,45,Male,150,0.19,121.5
Electronics,Headphones,AMERICAS,100,3,2024-01-14,C005,34,Male,100,0.16,84.0
Apparel,Jeans,AMERICAS,40,1,2024-01-15,C006,28,Female,40,0.21,31.6
Home Appliances,Refrigerator,AMERICAS,600,1,2024-01-16,C007,39,Male,600,0.16,504.0
Electronics,Tablet,EUROPE,300,2,2024-01-17,C008,31,Female,300,0.27,219.0
Apparel,Jacket,ASIA,70,1,2024-01-18,C009,27,Male,70,0.29,49.7
Home Appliances,Washing Machine,AMERICAS,400,1,2024-01-19,C010,50,Female,400,0.15,340.0
Electronics,Smartwatch,EUROPE,200,1,2024-01-20,C011,23,Male,200,0.25,150.0
Apparel,Sneakers,ASIA,60,2,2024-01-21,C012,36,Female,60,0.18,49.2
Home Appliances,Blender,ASIA,50,1,2024-01-22,C013,42,Female,50,0.19,40.5
Electronics,Camera,AMERICAS,350,1,2024-01-23,C014,29,Male,350,0.28,252.0
Apparel,Dress,ASIA,80,1,2024-01-24,C015,33,Female,80,0.07,74.4
Home Appliances,Air Conditioner,AMERICAS,700,1,2024-01-25,C016,41,Male,700,0.07,651.0
Electronics,Desktop Computer,AMERICAS,1200,1,2024-01-26,C017,38,Male,1200,0.06,1128.0
Apparel,Hat,AMERICAS,25,3,2024-01-27,C018,24,Female,25,0.26,18.5
Home Appliances,Toaster,ASIA,30,2,2024-01-28,C019,48,Male,30,0.24,22.8
Electronics,Gaming Console,AFRICA,400,1,2024-01-29,C020,26,Female,400,0.27,292.0
Home Appliances,Smartphone,AMERICAS,519,4,2024-03-30,C081,32,Male,519,0.13,451.53
Apparel,Refrigerator,AMERICAS,702,3,2024-03-31,C082,42,Male,702,0.15,596.7
Electronics,Blender,AMERICAS,1308,1,2024-04-01,C083,35,Female,1308,0.07,1216.44
Apparel,Hat,ASIA,702,2,2024-04-02,C084,49,Male,702,0.22,547.56
Home Appliances,Dress,ASIA,577,1,2024-04-03,C085,48,Female,577,0.19,467.37
Apparel,Jeans,ASIA,301,1,2024-04-04,C086,18,Male,301,0.12,264.88
Electronics,Gaming Console,AMERICAS,760,3,2024-04-05,C087,42,Male,760,0.18,623.2
Home Appliances,Hat,AFRICA,1019,4,2024-04-06,C088,51,Female,1019,0.07,947.67
Apparel,Tablet,ASIA,485,2,2024-04-07,C089,43,Male,485,0.19,392.85
Home Appliances,Jeans,ASIA,1106,1,2024-04-08,C090,49,Female,1106,0.28,796.32
Apparel,Smartphone,AFRICA,1188,4,2024-04-09,C091,33,Female,1188,0.13,1033.56
Apparel,T-Shirt,AFRICA,592,2,2024-04-10,C092,44,Female,592,0.22,461.76
Home Appliances,Blender,EUROPE,188,3,2024-04-11,C093,46,Female,188,0.08,172.96
Apparel,Tablet,AFRICA,187,2,2024-04-12,C094,44,Male,187,0.23,143.99
Home Appliances,Gaming Console,AMERICAS,379,4,2024-04-13,C095,56,Female,379,0.12,333.52
Electronics,Refrigerator,EUROPE,1472,4,2024-04-14,C096,34,Female,1472,0.1,1324.8
Electronics,Dress,EUROPE,84,3,2024-04-15,C097,31,Male,84,0.2,67.2
Apparel,Blender,EUROPE,590,1,2024-04-16,C098,28,Male,590,0.06,554.6
Electronics,Desktop Computer,AMERICAS,885,3,2024-04-17,C099,21,Male,885,0.26,654.9
