Transaction_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Rate,Total_Sales,Region
TXN-0001,2023-02-27,CUST-1377,52,Female,Home Appliances,Microwave Oven,5,180.0,0.25,675.0,East
TXN-0002,2023-05-23,CUST-1047,40,Male,Apparel,T-Shirt,3,25.0,0.05,71.25,South
TXN-0003,2023-02-21,CUST-1083,35,Male,Home Appliances,Vacuum Cleaner,3,160.0,0.05,456.0,South
TXN-0004,2023-10-18,CUST-1452,34,Female,Home Appliances,Coffee Maker,2,75.0,0.0,150.0,East
TXN-0005,2023-02-02,CUST-1128,18,Male,Apparel,Hat,3,18.0,0.15,45.9,South
TXN-0006,2023-11-24,CUST-1082,51,Female,Home Appliances,Vacuum Cleaner,3,160.0,0.05,456.0,North
TXN-0007,2023-12-04,CUST-1310,52,Male,Electronics,Tablet,5,350.0,0.0,1750.0,North
TXN-0008,2023-11-20,CUST-1169,60,Female,Electronics,Laptop,4,950.0,0.2,3040.0,North
TXN-0009,2023-07-26,CUST-1098,45,Female,Electronics,Smartphone,1,550.0,0.0,550.0,West
TXN-0010,2023-07-25,CUST-1135,36,Female,Electronics,Smartwatch,5,200.0,0.05,950.0,West
TXN-0011,2023-04-06,CUST-1206,33,Male,Electronics,Laptop,3,950.0,0.15,2422.5,North
TXN-0012,2023-02-21,CUST-1477,33,Male,Apparel,Hat,5,18.0,0.05,85.5,West
TXN-0013,2023-05-20,CUST-1351,49,Male,Electronics,Tablet,2,350.0,0.25,525.0,North
TXN-0014,2023-01-19,CUST-1021,68,Male,Apparel,Running Shoes,5,85.0,0.1,382.5,North
TXN-0015,2023-06-20,CUST-1415,62,Male,Electronics,Tablet,2,350.0,0.05,665.0,West
TXN-0016,2023-01-15,CUST-1135,43,Female,Apparel,T-Shirt,5,25.0,0.25,93.75,South
TXN-0017,2023-08-09,CUST-1339,37,Female,Apparel,T-Shirt,4,25.0,0.25,75.0,North
TXN-0018,2023-06-14,CUST-1242,65,Male,Home Appliances,Microwave Oven,3,180.0,0.0,540.0,North
TXN-0019,2023-08-01,CUST-1253,62,Unknown,Apparel,Jacket,5,110.0,0.1,495.0,West
TXN-0020,2023-09-16,CUST-1441,33,Male,Apparel,Hat,3,18.0,0.05,51.3,North
TXN-0021,2023-05-20,GUEST-UNKNOWN,43,Female,Electronics,Smartwatch,1,200.0,0.15,170.0,East
TXN-0022,2023-08-04,CUST-1026,59,Male,Electronics,Wireless Headphones,2,120.0,0.2,192.0,North
TXN-0023,2023-03-25,CUST-1294,43,Male,Home Appliances,Air Conditioner,5,650.0,0.0,3250.0,East
TXN-0024,2023-08-04,CUST-1456,45,Female,Electronics,Smartphone,4,550.0,0.05,2090.0,East
TXN-0025,2023-01-15,CUST-1408,56,Male,Apparel,T-Shirt,4,25.0,0.2,80.0,South
TXN-0026,2023-07-27,CUST-1242,65,Female,Electronics,Smartwatch,3,200.0,0.1,540.0,North
TXN-0027,2023-02-21,CUST-1007,20,Female,Electronics,Wireless Headphones,1,120.0,0.05,114.0,West
TXN-0028,2023-10-23,CUST-1288,33,Female,Electronics,Laptop,4,950.0,0.05,3610.0,South
TXN-0029,2023-05-12,CUST-1080,43,Female,Electronics,Wireless Headphones,4,120.0,0.25,360.0,North
TXN-0030,2023-05-17,CUST-1304,36,Female,Home Appliances,Coffee Maker,1,75.0,0.05,71.25,North
TXN-0031,2023-12-11,GUEST-UNKNOWN,59,Male,Home Appliances,Air Conditioner,4,650.0,0.1,2340.0,West
TXN-0032,2023-08-21,CUST-1395,18,Female,Electronics,Smartphone,4,550.0,0.15,1870.0,North
