Transaction_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Rate,Total_Sales,Region
TXN-0001,2023-02-27,CUST-1377,52.0,female,, Microwave Oven ,5,180.0,25%,$675.00,east
TXN-0002,23/05/2023,CUST-1047,40.0,Male,clothing, T-Shirt ,3,25.0,5%,$71.25,South
TXN-0003,02-21-2023,CUST-1083,35.0,male,home appliances,Vacuum Cleaner,3,160.0,5%,$456.00,South
TXN-0004,10-18-2023,CUST-1452,34.0,FEMALE,Appliances,Coffee Maker,2,$75.00,,150.00,east
TXN-0005,"Feb 02, 2023",CUST-1128,18.0,male,clothing,Hat,3,18.0,0.15,$45.90,south
TXN-0006,2023.11.24,CUST-1082,51.0, Female ,Home Appliances, Vacuum Cleaner ,3,$160.00,5%,456.00,NORTH
TXN-0007,2023.12.04,CUST-1310,52.0,MALE,Electro,Tablet,5,$350.00,,1750.00,North
TXN-0008,20/11/2023,1169.0,60.0,FEMALE,  Electronics ,Laptop,4,$950.00,20%,3040.00,north
TXN-0009,07-26-2023,1098.0,45.0,F,Electronics,Smartphone,1, 550.0 ,,$550.00,West
txn_0010,25/07/2023,CUST-1135,36.0,FEMALE,Electro, Smartwatch ,5,$200.00,0.05,$950.00,west
TXN-0011,2023.04.06,CUST-1206,33.0,Male,Electro,Laptop,3, 950.0 ,15%,"$2,422.50",  North 
TXN-0012,2023.02.21,CUST-1477,33.0,M,clothing,Hat,5,$0.00,0.05,$0.00,west
TXN-0013,2023.05.20,CUST-1351,49.0,Male,Electro,Tablet,2,$350.00,0.25,525.00,NORTH
TXN-0014,2023.01.19,CUST-1021,68.0,Male,apparel,Running Shoes,5,85.0,0.1,382.50,North
15,"Jun 20, 2023",CUST-1415,62.0,Male,electronics, Tablet ,2, 350.0 ,0.05,$665.00,west
TXN-0016,01-15-2023,CUST-1135,,Female,APPAREL,T-Shirt,5,$25.00,0.25,93.75,South
TXN-0017,2023-08-09,CUST-1339,37.0,female,APPAREL,T-Shirt,4,25.0,0.25,75.00,  North 
TXN-0018,"Jun 14, 2023",CUST-1242,65.0,male,Appliances,Microwave Oven,3,$180.00,,540.00,north
TXN-0019,2023.08.01,CUST-1253,62.0,,Apparel,Jacket,5,110.0,0.1,495.00,West
txn_0020,2023.09.16,CUST-1441,33.0,  Male  ,clothing,Hat,3,$18.00,5%,51.30,north
TXN-0021,2023.07.28,1426.0,55.0,Male,clothing,Jeans,-1,$60.00,0.2,0.00,West
TXN-0022,"May 20, 2023",,43.0,F,  Electronics ,Smartwatch,1,200.0,15%,170.00,east
TXN-0023,2023-08-04,CUST-1026,59.0,Male,electronics, Wireless Headphones ,2,$120.00,0.2,192.00,north
TXN-0024,2023-03-25,CUST-1294,43.0,MALE,home appliances, Air Conditioner ,5,650.0,,"$3,250.00",East
TXN-0025,2023-08-04,CUST-1456,45.0,FEMALE,ELECTRONICS,Smartphone,4, 550.0 ,5%,2090.00,east
TXN-0026,01-15-2023,CUST-1408,56.0,  Male  ,clothing,T-Shirt,4,$25.00,20%,"$999,999.00",south
TXN-0027,27/07/2023,CUST-1242,65.0,Female,ELECTRONICS,Smartwatch,3,200.0,0.1,540.00,  North 
TXN-0028,02-21-2023,CUST-1007,20.0,FEMALE,electronics,Wireless Headphones,1,120.0,5%,$114.00,West
TXN-0029,2023-10-23,1288.0,33.0,female,  Electronics ,Laptop,4,950.0,0.05,"$3,610.00",South
txn_0030,05/12/2023,CUST-1080,, Female ,Electronics,Wireless Headphones,4,$120.00,0.25,360.00,NORTH
TXN-0031,2023-05-17,CUST-1304,36.0,F,Home-Appliances,Coffee Maker,1,75.0,5%,71.25,North
TXN-0032,2023.12.11,,59.0,  Male  ,Appliances,Air Conditioner,4,$650.00,10%,2340.00,west
TXN-0033,08-21-2023,1395.0,18.0,FEMALE,Electronics, Smartphone ,4,$550.00,15%,1870.00,  North 
TXN-0034,03/05/2023,1208.0,25.0,male,home appliances,Air Conditioner,3,650.0,10%,1755.00,north
TXN-0035,2023.08.01,1371.0,60.0,M,Electro,Wireless Headphones,4,120.0,20%,384.00,east
TXN-0036,2023-12-06,CUST-1018,39.0,F,Apparel , Jeans ,2, 60.0 ,0.2,96.00,east
TXN-0037,"Nov 17, 2023",1035.0,36.0,male,Apparel,T-Shirt,2, 25.0 ,15%,$42.50,NORTH
TXN-0038,2023.03.31,CUST-1123,32.0,  Male  ,Electronics,Tablet,5, 350.0 ,0.2,1400.00,West
TXN-0039,2023.05.02,CUST-1358,60.0,Male,Electronics,Laptop,3,$950.00,0.1,2565.00,NORTH
txn_0040,invalid_date,CUST-1296,36.0,female,home appliances,Microwave Oven,5, 180.0 ,0.2,720.00,West
TXN-0041,14/03/2023,CUST-1203,41.0,female,,Laptop,3,950.0,10%,"$2,565.00",  North 
TXN-0042,2023-11-28,CUST-1154,20.0,  Male  ,Electronics, Smartwatch ,4,200.0,0.25,$600.00,West
TXN-0043,2023-07-28,CUST-1227,24.0,Female,APPAREL, Hat ,4,$18.00,5%,68.40,South
TXN-0044,2023.10.11,CUST-1168,56.0,,electronics,Laptop,1,$950.00,,$950.00,NORTH
45,2023-01-27,1032.0,50.0,F,  Electronics , Wireless Headphones ,5, 120.0 ,20%,$480.00,north
TXN-0046,2023-11-08,CUST-1299,56.0,F,Apparel , T-Shirt ,5,$25.00,10%,112.50,East
TXN-0047,06-10-2023,CUST-1472,23.0,male,APPAREL,Jeans,5,60.0,0.2,240.00,East
TXN-0048,23/10/2023,CUST-1433,41.0,  Male  ,Electro,Laptop,5,950.0,15%,4037.50,East
TXN-0049,2023.04.03,1379.0,65.0,female,ELECTRONICS, Smartphone ,5, 550.0 ,0.05,"$2,612.50",West
,2023.05.20,CUST-1145,51.0,Male,clothing, Jeans ,2,$60.00,0.2,96.00,west
TXN-0051,12-09-2023,CUST-1021,22.0, Female ,Apparel ,Running Shoes,1,$85.00,0.2,68.00,South
TXN-0052,2023.10.29,CUST-1381,28.0,male,apparel,Jeans,2,$60.00,25%,90.00,West
TXN-0053,2023.10.16,CUST-1289,38.0,Female,Apparel,Jacket,5, 110.0 ,5%,522.50,north
TXN-0054,"Nov 01, 2023",CUST-1405,54.0,Female,clothing, Hat ,3,$18.00,5%,51.30,NORTH
TXN-0055,"Jul 10, 2023",CUST-1306,,Female,Apparel,T-Shirt,5,$25.00,0.1,112.50,NORTH
TXN-0056,2023.02.13,CUST-1416,65.0,FEMALE,Apparel ,Hat,-1,$18.00,20%,$0.00,north
TXN-0057,2023.10.04,,26.0,M,clothing,Running Shoes,4,85.0,20%,272.00,South
TXN-0058,"Dec 14, 2023",CUST-1195,28.0, Female ,APPAREL, T-Shirt ,1, 25.0 ,,25.00,east
TXN-0059,04-24-2023,CUST-1202,23.0,Male,Electronics,Laptop,2,950.0,20%,"$999,999.00",north
txn_0060,12/05/2023,CUST-1270,33.0,Male,  Electronics ,Smartphone,5,550.0,15%,"$2,337.50",north
TXN-0061,2023.07.04,CUST-1259,48.0,,APPAREL,Running Shoes,-2,85.0,15%,0.00,West
TXN-0062,03/09/2023,1397.0,30.0,,Home Appliances,Refrigerator,5,$850.00,15%,"$3,612.50",north
TXN-0063,"Jul 08, 2023",CUST-1197,62.0,FEMALE,Home Appliances,Air Conditioner,2,$650.00,,1300.00,east
TXN-0064,12-20-2023,CUST-1466,35.0,Male,Electro,Tablet,1,350.0,,$350.00,east
TXN-0065,17/01/2023,CUST-1190,26.0,female,APPAREL,Hat,4, 18.0 ,20%,57.60,South
TXN-0066,"Mar 11, 2023",CUST-1044,38.0,male,ELECTRONICS,Laptop,2, 950.0 ,10%,1710.00,West
TXN-0067,2023.10.10,1203.0,51.0,female,Home Appliances, Air Conditioner ,4,$650.00,0.25,"$1,950.00",North
TXN-0068,05/03/2023,CUST-1478,51.0,male,Appliances,Vacuum Cleaner,1,$160.00,10%,$144.00,  North 
TXN-0069,2023-01-15,CUST-1135,44.0,Male,  Electronics ,Smartphone,4,$550.00,,"$2,200.00",  North 
txn_0070,06-10-2023,CUST-1499,50.0,Female,Electronics,Tablet,3,350.0,0.1,$945.00,NORTH
TXN-0071,"Sep 21, 2023",CUST-1046,33.0,Female,,Jacket,4,$110.00,0.1,$396.00,east
TXN-0072,19/10/2023,CUST-1197,35.0, Female ,Electronics, Smartphone ,3,$550.00,0.25,"$1,237.50",East
TXN-0073,"Aug 31, 2023",CUST-1071,28.0, Female ,HOME APPLIANCES,Air Conditioner,4,$650.00,15%,"$2,210.00",North
TXN-0074,2023-08-31,CUST-1295,48.0, Female ,Apparel , Hat ,1,18.0,10%,16.20,North
75,12/03/2023,CUST-1244,29.0,FEMALE,HOME APPLIANCES,Refrigerator,3,$850.00,25%,1912.50,South
TXN-0076,12-27-2023,CUST-1478,25.0,FEMALE,Home-Appliances,Refrigerator,3, 850.0 ,0.15,"$2,167.50",west
TXN-0077,2023-05-20,CUST-1124,,MALE,Home Appliances, Refrigerator ,2,$0.00,10%,$0.00,South
TXN-0078,05-28-2023,CUST-1045,65.0,Male,home appliances,Air Conditioner,1,$650.00,0.15,"$999,999.00",  North 
TXN-0079,02-24-2023,CUST-1268,50.0,MALE,APPAREL, Hat ,2,$18.00,10%,32.40,west
txn_0080,invalid_date,1165.0,250.0,  Male  ,APPAREL,T-Shirt,3,$25.00,15%,63.75,south
TXN-0081,03-02-2023,CUST-1490,65.0,Female,Appliances,Refrigerator,2,850.0,25%,1275.00,North
TXN-0082,08/10/2023,1167.0,61.0, Female ,Appliances,Vacuum Cleaner,4,$160.00,0.15,544.00,  North 
TXN-0083,01-24-2023,CUST-1030,48.0,,electronics,Laptop,4,950.0,20%,3040.00,East
TXN-0084,"Apr 02, 2023",CUST-1114,37.0,FEMALE,Electro,Laptop,3,950.0,,2850.00,North
TXN-0085,2023-04-16,CUST-1344,65.0,,  Electronics ,Smartwatch,5,$200.00,25%,$750.00,south
TXN-0086,2023.03.15,CUST-1031,65.0,female,Home Appliances,Coffee Maker,5, 75.0 ,25%,281.25,West
TXN-0087,"Jan 30, 2023",CUST-1068,39.0,F,Home Appliances,Coffee Maker,4,75.0,0.25,225.00,East
TXN-0088,08/01/2023,1386.0,56.0,female,  Electronics ,Wireless Headphones,3,$120.00,20%,288.00,South
TXN-0089,2023-06-10,CUST-1074,, Female ,Apparel ,T-Shirt,5,25.0,0.15,106.25,West
txn_0090,30/06/2023,CUST-1469,21.0,male,Electronics,Tablet,2,$350.00,20%,560.00,West
TXN-0091,2023-09-07,CUST-1008,36.0,,Home-Appliances,Microwave Oven,1,$180.00,0.15,$153.00,east
TXN-0092,2023-10-17,CUST-1434,59.0,male,Apparel ,Jacket,500,110.0,0.05,52250.00,  North 
TXN-0093,2023-05-19,CUST-1278,38.0,,apparel,Jacket,1,110.0,25%,82.50,north
TXN-0094,2023-06-27,CUST-1174,56.0,Female,,Running Shoes,3,$85.00,0.25,191.25,north
TXN-0095,"May 18, 2023",CUST-1378,23.0,,ELECTRONICS,Laptop,4,950.0,,3800.00,East
TXN-0096,07-17-2023,CUST-1371,33.0,M,home appliances, Vacuum Cleaner ,1,$160.00,5%,$152.00,  North 
TXN-0097,23/08/2023,CUST-1170,39.0,female,  Electronics , Smartwatch ,2,$200.00,15%,340.00,South
TXN-0098,"Jul 12, 2023",CUST-1102,61.0,Male,Apparel ,T-Shirt,1,25.0,15%,21.25,north
TXN-0099,2023.11.03,CUST-1471,20.0,Female,clothing,Jacket,2,$110.00,0.05,209.00,East
,2023-08-09,CUST-1382,54.0,Female,Appliances,Air Conditioner,4,650.0,10%,2340.00,East
TXN-0101,2023-02-19,CUST-1153,,Male,Apparel,Jacket,2, 110.0 ,20%,176.00,east
TXN-0102,2023.01.15,CUST-1219,31.0,male,clothing, Jeans ,3,60.0,0.2,144.00,  North 
TXN-0103,12-11-2023,CUST-1344,37.0,Female,  Electronics ,Tablet,4,350.0,0.1,"$1,260.00",West
TXN-0104,2023-01-28,CUST-1196,49.0,F,Apparel ,Hat,2,$18.00,0.1,$32.40,west
105,10-21-2023,CUST-1187,66.0,FEMALE,Electro, Laptop ,3,$950.00,5%,"$2,707.50",  North 
TXN-0106,2023.06.29,CUST-1071,21.0,FEMALE,Appliances, Refrigerator ,5,850.0,5%,"$4,037.50",south
TXN-0107,2023-12-02,CUST-1364,61.0,M,HOME APPLIANCES,Vacuum Cleaner,1,160.0,0.2,,north
TXN-0108,2023-08-23,CUST-1407,45.0,F,HOME APPLIANCES,Refrigerator,4,850.0,,"$3,400.00",NORTH
TXN-0109,"Aug 22, 2023",CUST-1067,35.0,Female,APPAREL,Jacket,3,110.0,,$330.00,  North 
txn_0110,"Sep 23, 2023",,45.0,F,Electro, Smartwatch ,3,$200.00,0.1,540.00,  North 
TXN-0111,03-26-2023,CUST-1077,46.0,male,home appliances,Microwave Oven,4,$180.00,5%,$684.00,North
TXN-0112,04/12/2023,CUST-1382,68.0,MALE,Home Appliances,Vacuum Cleaner,1, 160.0 ,25%,$120.00,north
TXN-0113,2023-10-28,1030.0,36.0,FEMALE,Electro,Smartphone,5,$550.00,,"$2,750.00",East
TXN-0114,2023-10-28,1357.0,33.0,male,Apparel,Jeans,2,60.0,0.15,$102.00,NORTH
TXN-0115,2023-05-18,1413.0,34.0, Female ,Home-Appliances,Refrigerator,5,$850.00,0.25,"$3,187.50",North
TXN-0116,01-24-2023,CUST-1476,63.0,female,electronics,Smartwatch,1,$200.00,5%,190.00,north
TXN-0117,08-27-2023,CUST-1004,68.0, Female ,HOME APPLIANCES,Coffee Maker,2,75.0,20%,120.00,North
TXN-0118,2023-01-01,CUST-1157,33.0,Male,apparel,T-Shirt,5,25.0,25%,$93.75,  North 
TXN-0119,11/08/2023,CUST-1161,65.0,F,Electronics,Smartphone,1,$550.00,20%,$440.00,West
txn_0120,03/03/2023,CUST-1360,38.0,MALE,Electro,Wireless Headphones,2,120.0,10%,$216.00,North
TXN-0121,24/04/2023,CUST-1322,55.0,male,, Vacuum Cleaner ,2,160.0,20%,256.00,West
TXN-0122,"Jul 15, 2023",CUST-1095,27.0,,electronics,Smartphone,4,$550.00,0.1,1980.00,west
TXN-0123,2023-01-10,CUST-1248,38.0,M,,Air Conditioner,3,650.0,0.1,"$1,755.00",North
TXN-0124,"Apr 23, 2023",CUST-1432,38.0,Female,Home Appliances,Air Conditioner,2,$650.00,0.2,"$1,040.00",  North 
TXN-0125,"Jan 11, 2023",,26.0,M,ELECTRONICS, Smartwatch ,2,200.0,0.15,$340.00,East
TXN-0126,"Mar 22, 2023",CUST-1332,53.0, Female ,electronics,Tablet,3,350.0,0.2,$840.00,East
TXN-0127,2023-11-10,CUST-1072,40.0,M,Home Appliances,Coffee Maker,3,$75.00,5%,$213.75,West
TXN-0128,"Aug 03, 2023",CUST-1279,68.0,MALE,Home Appliances,Refrigerator,3,$850.00,20%,2040.00,East
TXN-0129,2023-11-11,,45.0,male,apparel,Hat,5,$18.00,5%,$85.50,North
txn_0130,2023-02-14,CUST-1049,,  Male  ,Apparel ,Jeans,4,$60.00,20%,$192.00,south
TXN-0131,27/08/2023,CUST-1077,23.0,FEMALE,clothing,Jacket,5,110.0,10%,495.00,west
TXN-0132,2023.09.22,CUST-1061,28.0,MALE,Apparel , Hat ,2,$18.00,5%,34.20,west
TXN-0133,2023-01-07,CUST-1214,54.0,male,clothing,Jacket,3,$110.00,0.25,$247.50,  North 
TXN-0134,2023-12-22,CUST-1353,35.0,Male,HOME APPLIANCES,Microwave Oven,1,$180.00,0.2,144.00,north
135,"Aug 15, 2023",CUST-1444,68.0,  Male  ,Electro, Smartwatch ,1, 200.0 ,,$200.00,South
TXN-0136,2023.07.08,CUST-1348,, Female ,Electro,Wireless Headphones,3, 120.0 ,0.1,$324.00,South
TXN-0137,2023-04-16,1399.0,48.0,M,Home Appliances,Microwave Oven,3,$180.00,15%,459.00,  North 
TXN-0138,2023-01-04,CUST-1287,37.0,F,ELECTRONICS,Laptop,3, 950.0 ,,"$2,850.00",East
TXN-0139,2023-03-13,CUST-1132,65.0,,Appliances,Microwave Oven,5,180.0,0.15,$765.00,north
txn_0140,03-07-2023,CUST-1467,39.0,MALE,APPAREL,Jacket,5,110.0,0.25,$412.50,north
TXN-0141,2023.12.15,1437.0,39.0, Female ,Home-Appliances, Vacuum Cleaner ,1, 160.0 ,5%,152.00,NORTH
TXN-0142,2023.02.15,CUST-1219,20.0,Female,APPAREL,Jacket,1,$110.00,15%,$93.50,north
TXN-0143,01-24-2023,CUST-1268,26.0,F,home appliances, Vacuum Cleaner ,1, 160.0 ,0.25,120.00,east
TXN-0144,2023.11.24,CUST-1024,19.0,,Home-Appliances,Coffee Maker,2, 75.0 ,0.05,$142.50,north
TXN-0145,11-13-2023,1101.0,51.0,Female,APPAREL, Running Shoes ,4,$85.00,0.05,$323.00,west
TXN-0146,2023-02-21,CUST-1151,29.0,  Male  ,ELECTRONICS,Laptop,1,-$50.00,10%,$0.00,north
TXN-0147,2023-06-25,CUST-1139,48.0,M,Apparel,T-Shirt,5,25.0,0.15,106.25,NORTH
TXN-0148,"Sep 07, 2023",1335.0,61.0, Female ,apparel,Jacket,5,110.0,20%,440.00,west
TXN-0149,2023-11-10,CUST-1434,28.0,F,HOME APPLIANCES,Coffee Maker,4,$75.00,25%,$225.00,West
,2023-12-01,1281.0,, Female ,HOME APPLIANCES,Refrigerator,4,$850.00,,3400.00,  North 
TXN-0151,2023-08-31,CUST-1049,39.0,  Male  ,APPAREL,Hat,2,18.0,10%,$32.40,South
TXN-0152,"Jun 23, 2023",,25.0,F,Appliances,Refrigerator,5,850.0,0.25,"$3,187.50",NORTH
TXN-0153,2023.07.18,CUST-1451,62.0,  Male  ,ELECTRONICS,Laptop,4,950.0,0.25,2850.00,South
TXN-0154,11-16-2023,CUST-1067,29.0,Female,ELECTRONICS,Smartwatch,4,200.0,0.2,,NORTH
TXN-0155,10/12/2023,CUST-1146,21.0,  Male  ,  Electronics , Smartphone ,5,550.0,0.15,"$2,337.50",East
TXN-0156,2023-01-28,CUST-1399,32.0,Female,clothing,Running Shoes,2,$85.00,0.1,$153.00,south
